id,title,price,location,size,size_unit,bedrooms,bathrooms
4127340,لعشاق للتميز و الرقي شقه للبيع204م دابل فيو في حي مروج سموحه من مجموعة المعماري,"5,650,800",حي مروج اسكندريه امام جرين بلازا قلب سموحه,204,متر²,4,3
4127339,شقه للبيع 191م 4غرف فيو  مميز جدا لنادي حي مروج من مجموعة المعماري,"5,414,850",حي مروج سموحه الاسكندريه,191,متر²,4,3
4127338,للبيع شقه لعشاق التميز 198م دابل فيو بحي مروج سموحه من مجموعة المعماري,"5,445,000",حي مروج  بارك بلازا سموحه الاسكندريه امام جرين بلازا,198,متر²,4,3
4114478,شقه للبيع 175م دابل فيو اكبر بلازا و نادي بحي مروج سموحه من مجموعة المعماري,"4,375,000",حي مروج سموحه الاسكندريه امام جرين بلازا,175,متر²,3,2
4114476,شقه للبيع 226م فيو متميز بكمبوند بارك بلازا حي مروج سموحه من مجموعة المعماري,"7,842,200",حي مروج سموحه الاسكندريه امام جرين بلازا,226,متر²,5,4
4114479,شقه للبيع 204م دابل فيو اكبر بلازا ونادي  حي مروج سموحه من مجموعة المعماري,"5,691,600",حي مروج سموحه الاسكندريه امام جرين بلازا,204,متر²,4,3
4114481,شقه للبيع 185م دابل 4غرف فيو اكبر بلازا بحي مروج سموحه من مجموعة المعماري,"4,692,000",حي مروج سموحه الاسكندريه امام جرين بلازا,185,متر²,4,3
4127316,للبيع بأرقي كمبوند حي مروج شقه دوبلكس بحديقه 559م فيو نادي من مجموعة المعماري,"17,750,000",حي مروج سموحه الاسكندريه امام جرين بلازا,559,متر²,7,6
4127318,امتلك شقه 191م لعشاق الفخامه سموحه حي مروج من مجموعة المعماري فيو نادي,"5,558,100",حي مروج بارك بلازا سموحه الاسكندريه,191,متر²,4,3
3818698,امتلك شقه للبيع  154م بكمبوند بارك بلازا حي مروج سموحه من مجموعة المعماري,"4,081,000",حي مروج سموحه الاسكندريه,154,متر²,3,2
4114458,شقه للبيع 175م اميز فيو للنادي واكبر بلازا بحي مروج سموحه من مجموعة المعماري,"4,375,000",حي مروج سموحه الاسكندريه امام جرين بلازا,175,متر²,3,2
3818702,شقه للبيع 4غرف 191م فيو مميز جدا لنادي حي مروج سموحه من مجموعة المعماري,"5,414,850",بارك بلازا كمبوند,191,متر²,4,2
4114474,اشقه للبيع 204م دابل فيو اكبر بلازا و نادي بحي مروج سموحه من مجموعة المعماري,"5,610,000",حي مروج سموحه الاسكندريه امام جرين بلازا,204,متر²,4,3
4128320,استثمر شقتك 226م فى كمبوند مروج بفيوهات مميزة اقل مقدم تعاقد 15%,"7,763,000",كمبوند مروج بارك بلازا المعمارى,226,متر²,4,3
4127283,احجز شقتك 191م كمبوند مروج سموح بفيوهات مميزة نادى مروج والاقساط على 5 سنوات,"5,415,000",كمبوند مروج بارك بلازا المعمارى,191,متر²,3,3
4127263,تملك شقتك فى كمبوند مروج سموحة 184م بفيوهات مميزة بالتقسيط على 6 سنوات,"4,830,000",كمبوند مروج بارك بلازا المعمارى,184,متر²,3,3
4114448,شقه للبيع 141م 3غرف فيو حديقه حي مروج سموحه من مجموعة المعماري,"3,694,200",حي مروج سموحه الاسكندريه امام جرين بلازا,141,متر²,3,2
4114462,شقه للبيع 191م اميز فيو لنادي و اكبر بالازا بحي مروج سموحه من مجموعة المعماري,"5,481,700",حي مروج سموحه الاسكندريه امام جرين بلازا,191,متر²,4,3
4114459,شقه للبيع 184م 4غرف و اميز دابل فيو بحي مروج سموحه من مجموعة المعماري,"4,802,400",حي مروج سموحه الاسكندريه امام جرين بلازا,184,متر²,4,3
4114452,شقه للبيع 141م فيو حديقه بكمبوند بارك بلازا حي مروج سموحه من مجموعة المعماري,"3,694,200",حي مروج سموحه الاسكندريه امام جرين بلازا,141,متر²,3,2
4127340,لعشاق للتميز و الرقي شقه للبيع204م دابل فيو في حي مروج سموحه من مجموعة المعماري,"5,650,800",حي مروج اسكندريه امام جرين بلازا قلب سموحه,204,متر²,4,3
4127339,شقه للبيع 191م 4غرف فيو  مميز جدا لنادي حي مروج من مجموعة المعماري,"5,414,850",حي مروج سموحه الاسكندريه,191,متر²,4,3
4127338,للبيع شقه لعشاق التميز 198م دابل فيو بحي مروج سموحه من مجموعة المعماري,"5,445,000",حي مروج  بارك بلازا سموحه الاسكندريه امام جرين بلازا,198,متر²,4,3
4114478,شقه للبيع 175م دابل فيو اكبر بلازا و نادي بحي مروج سموحه من مجموعة المعماري,"4,375,000",حي مروج سموحه الاسكندريه امام جرين بلازا,175,متر²,3,2
4114476,شقه للبيع 226م فيو متميز بكمبوند بارك بلازا حي مروج سموحه من مجموعة المعماري,"7,842,200",حي مروج سموحه الاسكندريه امام جرين بلازا,226,متر²,5,4
4114479,شقه للبيع 204م دابل فيو اكبر بلازا ونادي  حي مروج سموحه من مجموعة المعماري,"5,691,600",حي مروج سموحه الاسكندريه امام جرين بلازا,204,متر²,4,3
4114481,شقه للبيع 185م دابل 4غرف فيو اكبر بلازا بحي مروج سموحه من مجموعة المعماري,"4,692,000",حي مروج سموحه الاسكندريه امام جرين بلازا,185,متر²,4,3
4127316,للبيع بأرقي كمبوند حي مروج شقه دوبلكس بحديقه 559م فيو نادي من مجموعة المعماري,"17,750,000",حي مروج سموحه الاسكندريه امام جرين بلازا,559,متر²,7,6
4127318,امتلك شقه 191م لعشاق الفخامه سموحه حي مروج من مجموعة المعماري فيو نادي,"5,558,100",حي مروج بارك بلازا سموحه الاسكندريه,191,متر²,4,3
3818698,امتلك شقه للبيع  154م بكمبوند بارك بلازا حي مروج سموحه من مجموعة المعماري,"4,081,000",حي مروج سموحه الاسكندريه,154,متر²,3,2
4114458,شقه للبيع 175م اميز فيو للنادي واكبر بلازا بحي مروج سموحه من مجموعة المعماري,"4,375,000",حي مروج سموحه الاسكندريه امام جرين بلازا,175,متر²,3,2
3818702,شقه للبيع 4غرف 191م فيو مميز جدا لنادي حي مروج سموحه من مجموعة المعماري,"5,414,850",بارك بلازا كمبوند,191,متر²,4,2
4114474,اشقه للبيع 204م دابل فيو اكبر بلازا و نادي بحي مروج سموحه من مجموعة المعماري,"5,610,000",حي مروج سموحه الاسكندريه امام جرين بلازا,204,متر²,4,3
4128320,استثمر شقتك 226م فى كمبوند مروج بفيوهات مميزة اقل مقدم تعاقد 15%,"7,763,000",كمبوند مروج بارك بلازا المعمارى,226,متر²,4,3
4127283,احجز شقتك 191م كمبوند مروج سموح بفيوهات مميزة نادى مروج والاقساط على 5 سنوات,"5,415,000",كمبوند مروج بارك بلازا المعمارى,191,متر²,3,3
4127263,تملك شقتك فى كمبوند مروج سموحة 184م بفيوهات مميزة بالتقسيط على 6 سنوات,"4,830,000",كمبوند مروج بارك بلازا المعمارى,184,متر²,3,3
4114448,شقه للبيع 141م 3غرف فيو حديقه حي مروج سموحه من مجموعة المعماري,"3,694,200",حي مروج سموحه الاسكندريه امام جرين بلازا,141,متر²,3,2
4114462,شقه للبيع 191م اميز فيو لنادي و اكبر بالازا بحي مروج سموحه من مجموعة المعماري,"5,481,700",حي مروج سموحه الاسكندريه امام جرين بلازا,191,متر²,4,3
4114459,شقه للبيع 184م 4غرف و اميز دابل فيو بحي مروج سموحه من مجموعة المعماري,"4,802,400",حي مروج سموحه الاسكندريه امام جرين بلازا,184,متر²,4,3
4114452,شقه للبيع 141م فيو حديقه بكمبوند بارك بلازا حي مروج سموحه من مجموعة المعماري,"3,694,200",حي مروج سموحه الاسكندريه امام جرين بلازا,141,متر²,3,2
4127340,لعشاق للتميز و الرقي شقه للبيع204م دابل فيو في حي مروج سموحه من مجموعة المعماري,"5,650,800",حي مروج اسكندريه امام جرين بلازا قلب سموحه,204,متر²,4,3
4127339,شقه للبيع 191م 4غرف فيو  مميز جدا لنادي حي مروج من مجموعة المعماري,"5,414,850",حي مروج سموحه الاسكندريه,191,متر²,4,3
4127338,للبيع شقه لعشاق التميز 198م دابل فيو بحي مروج سموحه من مجموعة المعماري,"5,445,000",حي مروج  بارك بلازا سموحه الاسكندريه امام جرين بلازا,198,متر²,4,3
